date,timestamp,strategy,entry,sl,target,opening_high,opening_low,candle_type,symbol,expiry,strike,option_type,itm_rank,exit_time,exit_price,outcome,mfe,mae,points_gained_lost,time_to_exit_minutes,entry_hour,entry_minute,before_10
2026-09-18,2026-09-18 04:05:00+00:00,LEVEL_TO_LEVEL,186.7,182.35,212.7,212.7,186.35,strong_green,NSE-NIFTY-22Sep26-23200-CE,2026-09-22,23200.0,CE,2,2026-09-18 04:10:00+00:00,182.35,SL,35.25,-24.69999999999999,-4.349999999999994,5.0,9,35,True
2026-09-22,2026-09-22 04:05:00+00:00,LEVEL_TO_LEVEL,251.75,234.2,285.35,285.35,238.2,normal,NSE-NIFTY-22Sep26-23200-CE,2026-09-22,23200.0,CE,2,2026-09-22 05:00:00+00:00,234.2,SL,17.75,-156.55,-17.55000000000001,55.0,9,35,True
2026-09-01,2026-09-01 04:15:00+00:00,LEVEL_TO_LEVEL,39.0,34.7,39.4,39.4,38.7,lower_rejection,NSE-NIFTY-22Sep26-23400-PE,2026-09-22,23400.0,PE,2,2026-09-01 05:10:00+00:00,34.7,SL,43.05,-11.8,-4.299999999999997,55.0,9,45,True
2026-09-02,2026-09-02 04:35:00+00:00,LEVEL_TO_LEVEL,71.35,66.95,74.9,74.9,70.95,normal,NSE-NIFTY-22Sep26-23400-PE,2026-09-22,23400.0,PE,2,2026-09-02 04:50:00+00:00,66.95,SL,8.400000000000006,-35.099999999999994,-4.3999999999999915,15.0,10,5,False
2026-09-03,2026-09-03 04:15:00+00:00,LEVEL_TO_LEVEL,36.8,34.75,41.35,41.35,38.75,lower_rejection,NSE-NIFTY-22Sep26-23400-PE,2026-09-22,23400.0,PE,2,2026-09-03 05:05:00+00:00,41.35,TARGET,23.150000000000006,-0.19999999999999574,4.550000000000004,50.0,9,45,True
2026-09-04,2026-09-04 03:55:00+00:00,LEVEL_TO_LEVEL,47.0,41.55,51.05,51.05,45.55,normal,NSE-NIFTY-22Sep26-23400-PE,2026-09-22,23400.0,PE,2,2026-09-04 04:25:00+00:00,41.55,SL,2.1499999999999986,-11.299999999999997,-5.450000000000003,30.0,9,25,True
2026-09-08,2026-09-08 04:45:00+00:00,LEVEL_TO_LEVEL,62.15,61.349999999999994,69.15,69.15,65.35,upper_rejection,NSE-NIFTY-22Sep26-23400-PE,2026-09-22,23400.0,PE,2,2026-09-08 05:05:00+00:00,69.15,TARGET,64.69999999999999,0.05000000000000426,7.000000000000007,20.0,10,15,False
2026-09-09,2026-09-09 04:55:00+00:00,LEVEL_TO_LEVEL,101.65,96.7,122.6,122.6,100.7,upper_rejection,NSE-NIFTY-22Sep26-23400-PE,2026-09-22,23400.0,PE,2,2026-09-09 06:30:00+00:00,122.6,TARGET,50.400000000000006,-8.5,20.94999999999999,95.0,10,25,False
2026-09-11,2026-09-11 05:20:00+00:00,LEVEL_TO_LEVEL,221.2,205.15,254.5,254.5,209.15,strong_green,NSE-NIFTY-22Sep26-23400-PE,2026-09-22,23400.0,PE,2,2026-09-11 05:40:00+00:00,205.15,SL,2.9000000000000057,-117.64999999999999,-16.049999999999983,20.0,10,50,False
2026-09-17,2026-09-17 04:05:00+00:00,LEVEL_TO_LEVEL,189.85,191.5,253.5,253.5,195.5,lower_rejection,NSE-NIFTY-22Sep26-23400-PE,2026-09-22,23400.0,PE,2,2026-09-17 04:10:00+00:00,191.5,SL,48.150000000000006,-65.55,1.6500000000000057,5.0,9,35,True
