date,timestamp,strategy,entry,opening_high,opening_low,swing_high,candle_type,symbol,expiry,strike,option_type,itm_rank,breakout_timestamp,confirmation_timestamp,target,exit_time,exit_price,outcome,mfe,mae,points_gained_lost,time_to_exit_minutes,entry_hour,entry_minute,before_10,entry_before_10,entry_after_10,weekday,volatility_10,premium_change,lower_wick,upper_wick,range,rejection_characteristic,breakout_characteristic,false_breakout,time_to_target_minutes
2026-09-15,2026-09-15 04:55:00+00:00,EKALAYAVA,189.65,93.75,58.7,185.0,strong_green,NSE-NIFTY-15Sep26-23550-PE,2026-09-15,23550.0,PE,2,2026-09-15 04:55:00+00:00,2026-09-15 04:55:00+00:00,93.75,2026-09-15 05:00:00+00:00,93.75,TARGET,262.95000000000005,-7.300000000000011,-95.9,5.0,10,25,False,False,True,1,0.07088145090149638,14.099999999999994,3.1499999999999773,3.6500000000000057,20.0,strong_green,True,False,5.0
2026-08-24,2026-08-24 05:20:00+00:00,EKALAYAVA,39.55,39.3,38.3,39.0,unknown,NSE-NIFTY-15Sep26-23700-PE,2026-09-15,23700.0,PE,3,2026-08-24 05:20:00+00:00,2026-08-24 05:20:00+00:00,39.3,2026-08-24 05:25:00+00:00,39.3,TARGET,23.6,0.3500000000000014,-0.25,5.0,10,50,False,False,True,0,0.01004941012276857,0.3999999999999986,0.0,0.0,0.0,unknown,True,False,5.0
2026-08-26,2026-08-26 06:20:00+00:00,EKALAYAVA,29.0,28.0,19.35,28.95,strong_green,NSE-NIFTY-15Sep26-23700-PE,2026-09-15,23700.0,PE,3,2026-08-26 06:20:00+00:00,2026-08-26 06:20:00+00:00,28.0,2026-08-26 06:25:00+00:00,28.0,TARGET,5.350000000000001,-2.75,-1.0,5.0,11,50,False,False,True,2,0.04046744333953613,2.3500000000000014,0.0,0.6999999999999993,2.099999999999998,strong_green,True,False,5.0
2026-08-27,2026-08-27 04:25:00+00:00,EKALAYAVA,36.9,34.3,29.45,37.85,upper_rejection,NSE-NIFTY-15Sep26-23700-PE,2026-09-15,23700.0,PE,3,2026-08-27 04:25:00+00:00,2026-08-27 04:25:00+00:00,34.3,2026-08-27 04:30:00+00:00,34.3,TARGET,15.050000000000004,-1.6000000000000014,-2.6000000000000014,5.0,9,55,True,True,False,3,0.03628912560622184,0.7999999999999972,0.5,1.1000000000000014,2.299999999999997,upper_rejection,True,False,5.0
2026-08-31,2026-08-31 04:10:00+00:00,EKALAYAVA,62.4,58.65,54.5,60.7,strong_green,NSE-NIFTY-15Sep26-23700-PE,2026-09-15,23700.0,PE,3,2026-08-31 04:10:00+00:00,2026-08-31 04:10:00+00:00,58.65,2026-08-31 04:15:00+00:00,58.65,TARGET,2.4499999999999957,-21.6,-3.75,5.0,9,40,True,True,False,0,0.1551646963131682,3.6499999999999986,1.1000000000000014,0.0,4.549999999999997,strong_green,True,False,5.0
2026-09-01,2026-09-01 04:25:00+00:00,EKALAYAVA,56.4,53.2,49.35,55.0,normal,NSE-NIFTY-15Sep26-23700-PE,2026-09-15,23700.0,PE,3,2026-09-01 04:25:00+00:00,2026-09-01 04:25:00+00:00,53.2,2026-09-01 04:30:00+00:00,53.2,TARGET,22.6,-20.449999999999996,-3.1999999999999957,5.0,9,55,True,True,False,1,0.061282513393885886,1.3999999999999986,0.3499999999999943,0.5,2.1999999999999957,normal,True,False,5.0
2026-09-03,2026-09-03 09:10:00+00:00,EKALAYAVA,70.55,64.85,52.2,71.2,normal,NSE-NIFTY-15Sep26-23700-PE,2026-09-15,23700.0,PE,3,2026-09-03 09:10:00+00:00,2026-09-03 09:10:00+00:00,64.85,2026-09-03 09:15:00+00:00,64.85,TARGET,17.450000000000003,-2.0,-5.700000000000003,5.0,14,40,False,False,True,3,0.023764427779891826,1.0999999999999943,0.0,1.0,2.200000000000003,normal,True,False,5.0
2026-09-07,2026-09-07 04:20:00+00:00,EKALAYAVA,75.0,74.5,58.9,75.9,normal,NSE-NIFTY-15Sep26-23700-PE,2026-09-15,23700.0,PE,3,2026-09-07 04:20:00+00:00,2026-09-07 04:20:00+00:00,74.5,2026-09-07 04:25:00+00:00,74.5,TARGET,24.150000000000006,-2.6500000000000057,-0.5,5.0,9,50,True,True,False,0,0.10269188161432875,3.0999999999999943,0.5,1.3499999999999943,5.099999999999994,normal,True,False,5.0
2026-09-08,2026-09-08 04:25:00+00:00,EKALAYAVA,124.55,118.6,103.4,124.6,strong_green,NSE-NIFTY-15Sep26-23700-PE,2026-09-15,23700.0,PE,3,2026-09-08 04:25:00+00:00,2026-09-08 04:25:00+00:00,118.6,2026-09-08 04:30:00+00:00,118.6,TARGET,15.950000000000003,-25.39999999999999,-5.950000000000003,5.0,9,55,True,True,False,1,0.08350841398300857,4.950000000000003,0.5499999999999972,1.3500000000000085,6.900000000000006,strong_green,True,False,5.0
2026-09-09,2026-09-09 04:30:00+00:00,EKALAYAVA,226.0,223.8,177.1,223.8,normal,NSE-NIFTY-15Sep26-23700-PE,2026-09-15,23700.0,PE,3,2026-09-09 04:30:00+00:00,2026-09-09 04:30:00+00:00,223.8,2026-09-09 04:35:00+00:00,223.8,TARGET,40.14999999999998,-61.94999999999999,-2.1999999999999886,5.0,10,0,False,False,True,2,0.2201484161246214,5.0,0.19999999999998863,6.0,11.449999999999989,normal,True,False,5.0
